id,nome,data_entrada,segmento,estado,cidade
1,Diego Nascimento,2024-03-30,Beleza,PB,Gomes
2,Cecília Campos,2024-06-07,Casa,PA,Lopes dos Dourados
3,Rafaela Souza,2024-10-06,Eletrônicos,MS,Moraes
4,Ana Lívia Sales,2024-09-03,Beleza,SC,Barbosa
5,Yuri Mendes,2024-10-25,Alimentos,AL,Ramos
6,Pietro da Luz,2023-12-01,Beleza,RN,Alves do Sul
7,Gustavo Henrique Nascimento,2024-09-14,Eletrônicos,PE,Nogueira Alegre
8,Marina Caldeira,2024-01-16,Alimentos,AL,Freitas
9,Cauã Cavalcanti,2024-12-04,Eletrônicos,PE,Cardoso
10,Lucca Moraes,2025-02-06,Eletrônicos,MG,da Cruz
11,Eduarda Porto,2024-08-15,Eletrônicos,PE,Novaes da Praia
12,Arthur Moura,2023-08-23,Moda,SE,das Neves de Goiás
13,Sr. Cauê Fernandes,2023-07-14,Moda,RJ,da Luz do Galho
14,Cauã Alves,2023-10-28,Casa,RJ,da Mota da Praia
15,Srta. Marina Novaes,2024-02-19,Alimentos,GO,Monteiro
16,Ana Carolina Souza,2023-05-31,Beleza,PR,Gomes
17,Ana Beatriz Freitas,2023-10-01,Alimentos,PA,Cardoso do Sul
18,Rafaela Cardoso,2024-12-31,Beleza,RS,da Rocha
19,Sr. Eduardo Pereira,2025-02-05,Alimentos,RJ,Santos do Oeste
20,Cecília Ramos,2023-12-08,Casa,AC,Costa
21,Alice Martins,2023-11-23,Beleza,BA,da Cruz de Minas
22,Ana Sophia Caldeira,2024-07-08,Casa,AL,Cavalcanti das Flores
23,Srta. Clarice Barbosa,2024-10-17,Alimentos,AM,Porto
24,Gabriela Martins,2024-10-18,Eletrônicos,TO,Moura do Sul
25,Laura da Mata,2024-09-07,Moda,SP,da Cruz
26,Davi Lucas Cardoso,2024-12-09,Beleza,AP,Monteiro do Norte
27,Evelyn Aragão,2024-02-05,Eletrônicos,AC,Carvalho dos Dourados
28,Felipe Martins,2023-06-10,Beleza,RN,Moura do Sul
29,Laís Rezende,2023-12-09,Beleza,PR,Dias
30,Dra. Mariana Correia,2024-08-04,Beleza,PA,da Rocha
31,Clarice Vieira,2024-02-09,Beleza,SE,da Cruz Grande
32,Bernardo Araújo,2023-11-06,Beleza,MA,Rodrigues Paulista
33,Thiago Gomes,2024-08-12,Beleza,PI,Moraes
34,Pedro Rodrigues,2025-01-15,Casa,MA,Moura da Serra
35,Dr. Paulo Sales,2024-09-19,Eletrônicos,AL,Dias do Amparo
36,Milena Nascimento,2023-07-11,Beleza,RS,Fogaça
37,Maria Julia Jesus,2023-11-17,Eletrônicos,SC,Moreira
38,Ana Clara Freitas,2023-05-23,Eletrônicos,PA,Fogaça
39,Luiz Henrique Peixoto,2023-06-30,Eletrônicos,RN,Farias da Prata
40,Juliana Almeida,2024-09-29,Moda,MS,Alves de Martins
41,Breno Nascimento,2024-05-31,Moda,AM,Fogaça
42,Elisa Moura,2024-04-13,Moda,ES,da Rosa
43,Bryan Peixoto,2024-12-06,Moda,PB,da Luz
44,Murilo Jesus,2025-01-26,Casa,RR,Rocha das Flores
45,Alana Monteiro,2024-08-11,Alimentos,PB,Vieira de Azevedo
46,Sra. Stephany Cardoso,2023-07-10,Moda,RS,da Cunha de Araújo
47,Bryan Jesus,2024-04-04,Beleza,PB,Rodrigues
